                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5261,                 1.8556,                 1.6196,                0.81102,                0.77382,                0.84221,                0.43363,                 1.5525,                 1.6801,                 1.7408,             0.00055199,             0.00055199,             0.00055199
                      2,                 1.5387,                 1.4194,                 1.6301,                0.78434,                0.78057,                0.83315,                0.41266,                  1.514,                 1.3955,                 1.7496,              0.0011022,              0.0011022,              0.0011022
                      3,                 1.5415,                 1.3302,                 1.6363,                0.81122,                0.76926,                0.83656,                0.41149,                 1.5813,                 1.2775,                 1.7846,              0.0016469,              0.0016469,              0.0016469
                      4,                 1.5184,                 1.1883,                 1.6129,                0.82995,                0.81424,                0.86153,                0.44734,                 1.5576,                 1.0228,                 1.7149,              0.0016422,              0.0016422,              0.0016422
                      5,                 1.5051,                 1.1677,                 1.6114,                0.82504,                0.77863,                  0.868,                0.46793,                 1.4935,                 1.0264,                  1.664,              0.0016422,              0.0016422,              0.0016422
                      6,                 1.4786,                 1.1175,                 1.5953,                0.86147,                0.86188,                0.91079,                0.50465,                 1.4628,                0.98957,                 1.6175,               0.001634,               0.001634,               0.001634
                      7,                 1.4651,                 1.0916,                 1.5834,                0.84617,                0.78345,                0.83266,                 0.4019,                   1.66,                 1.0097,                 1.8093,              0.0016257,              0.0016257,              0.0016257
                      8,                   1.45,                 1.0689,                 1.5686,                0.88373,                 0.8845,                0.92154,                 0.5139,                  1.418,                0.88848,                  1.606,              0.0016175,              0.0016175,              0.0016175
                      9,                 1.4271,                 1.0406,                 1.5649,                0.89931,                0.87969,                0.92609,                0.53661,                 1.4181,                0.80524,                 1.5755,              0.0016092,              0.0016092,              0.0016092
                     10,                 1.4095,                 1.0156,                 1.5529,                0.86476,                0.86772,                0.91497,                0.51545,                 1.4438,                0.89596,                 1.6126,               0.001601,               0.001601,               0.001601
                     11,                 1.4002,                 1.0129,                 1.5421,                0.87164,                0.89413,                0.91982,                0.54824,                 1.3527,                0.81151,                 1.5521,              0.0015927,              0.0015927,              0.0015927
                     12,                 1.3972,                 1.0141,                 1.5483,                0.89126,                0.87969,                 0.9278,                0.54451,                 1.3593,                 0.8016,                 1.5647,              0.0015845,              0.0015845,              0.0015845
