                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0342,                 3.8889,                 1.3729,                0.50423,                0.05035,                0.09688,                0.07415,                0.68435,                 3.3747,                 1.1688,             0.00015646,             0.00015646,             0.00015646
                      2,                0.92267,                 3.3035,                 1.3239,                0.22618,                0.28891,                0.20794,                0.15256,                0.85689,                 2.8691,                 1.3089,             0.00031357,             0.00031357,             0.00031357
                      3,                0.98768,                 2.9047,                 1.3379,                0.33856,                0.31971,                 0.2666,                0.19392,                0.92181,                 2.6356,                 1.3143,             0.00046911,             0.00046911,             0.00046911
                      4,                0.97952,                 2.6855,                 1.3195,                0.34701,                0.36734,                0.32121,                0.22314,                 1.0359,                 2.7065,                 1.4169,             0.00046893,             0.00046893,             0.00046893
                      5,                0.93463,                 2.4997,                 1.3025,                0.39515,                0.56007,                   0.44,                0.33489,                0.88271,                  2.205,                 1.3211,             0.00046893,             0.00046893,             0.00046893
                      6,                0.96868,                 2.3846,                 1.3136,                0.44672,                0.51123,                0.50651,                0.39266,                0.84048,                  2.029,                 1.2706,             0.00046658,             0.00046658,             0.00046658
                      7,                0.91628,                 2.1904,                 1.2764,                0.53558,                0.51525,                0.55709,                0.42302,                0.85481,                 1.7626,                 1.2875,             0.00046422,             0.00046422,             0.00046422
                      8,                0.88583,                 2.0735,                 1.2629,                0.52873,                0.59323,                0.57999,                0.45587,                0.80185,                 1.7982,                 1.2467,             0.00046186,             0.00046186,             0.00046186
                      9,                0.88388,                 2.0342,                 1.2624,                0.56495,                0.56696,                0.62803,                0.48404,                0.79851,                 1.5853,                 1.2347,             0.00045951,             0.00045951,             0.00045951
                     10,                0.86435,                 1.9103,                 1.2438,                0.58762,                0.65544,                0.64866,                0.51436,                0.76567,                 1.5662,                 1.1994,             0.00045715,             0.00045715,             0.00045715
                     11,                0.85987,                 1.8428,                 1.2348,                0.65362,                0.59319,                0.67044,                0.54848,                0.74516,                 1.4235,                 1.1862,             0.00045479,             0.00045479,             0.00045479
                     12,                0.84785,                 1.7788,                 1.2241,                0.59261,                0.71331,                0.68092,                0.54725,                0.76281,                 1.3735,                 1.1867,             0.00045244,             0.00045244,             0.00045244
                     13,                0.82253,                 1.6989,                 1.2198,                0.63575,                0.71874,                0.70402,                0.57168,                0.73569,                 1.2975,                  1.159,             0.00045008,             0.00045008,             0.00045008
                     14,                0.79422,                 1.6297,                 1.1976,                0.58188,                0.71834,                0.70517,                0.57725,                0.71299,                 1.2367,                 1.1583,             0.00044773,             0.00044773,             0.00044773
                     15,                0.80258,                 1.5923,                 1.2007,                0.65251,                0.74179,                0.73017,                0.58854,                0.73574,                 1.1473,                 1.1608,             0.00044537,             0.00044537,             0.00044537
                     16,                0.79722,                 1.6092,                  1.198,                0.63062,                0.72659,                0.71396,                0.56215,                0.77315,                 1.2148,                  1.174,             0.00044301,             0.00044301,             0.00044301
                     17,                0.78388,                 1.5414,                 1.1969,                0.64215,                0.71155,                0.70137,                0.54816,                0.79125,                  1.263,                 1.1929,             0.00044066,             0.00044066,             0.00044066
                     18,                0.79488,                  1.549,                 1.2043,                0.65483,                0.77104,                0.74582,                0.61444,                0.69286,                 1.1057,                 1.1434,              0.0004383,              0.0004383,              0.0004383
                     19,                0.78887,                 1.4775,                 1.1868,                0.64929,                0.75726,                0.73575,                0.57793,                0.76241,                 1.1839,                 1.1728,             0.00043594,             0.00043594,             0.00043594
                     20,                 0.7774,                  1.422,                 1.1877,                0.69865,                0.77988,                0.72868,                 0.5995,                0.71718,                 1.0863,                 1.1495,             0.00043359,             0.00043359,             0.00043359
                     21,                0.76934,                 1.4339,                 1.1729,                0.68323,                0.72215,                0.73641,                0.59659,                0.72763,                  1.144,                 1.1358,             0.00043123,             0.00043123,             0.00043123
                     22,                0.76384,                 1.3751,                 1.1758,                0.66227,                0.72975,                0.74975,                 0.6063,                0.71676,                 1.0856,                 1.1491,             0.00042888,             0.00042888,             0.00042888
                     23,                0.75329,                 1.3505,                 1.1651,                 0.6798,                0.79611,                0.77592,                0.62818,                0.70592,                 1.0206,                 1.1343,             0.00042652,             0.00042652,             0.00042652
                     24,                0.73472,                 1.3703,                 1.1606,                0.70355,                0.71447,                0.75572,                0.61834,                0.69666,                 1.0405,                 1.1257,             0.00042416,             0.00042416,             0.00042416
                     25,                 0.7252,                 1.3265,                 1.1665,                0.69692,                0.79397,                0.78123,                 0.6318,                0.70861,                0.99757,                  1.143,             0.00042181,             0.00042181,             0.00042181
                     26,                0.72105,                 1.2944,                 1.1527,                0.69678,                0.80523,                0.77575,                0.64888,                0.63739,                0.97028,                 1.0964,             0.00041945,             0.00041945,             0.00041945
                     27,                0.71658,                 1.2931,                 1.1405,                 0.6746,                0.77082,                0.75119,                0.62192,                0.66601,                 1.0749,                 1.0995,              0.0004171,              0.0004171,              0.0004171
                     28,                0.71817,                 1.2869,                 1.1538,                0.73985,                0.77623,                0.77695,                0.65169,                0.65078,                 1.0035,                 1.1058,             0.00041474,             0.00041474,             0.00041474
                     29,                0.75368,                 1.2516,                 1.1643,                 0.6998,                0.82369,                0.80244,                0.65731,                0.66334,                0.97973,                 1.1169,             0.00041238,             0.00041238,             0.00041238
                     30,                0.73502,                 1.2328,                 1.1504,                0.71126,                0.79936,                0.78489,                 0.6463,                0.63888,                0.98304,                 1.0967,             0.00041003,             0.00041003,             0.00041003
                     31,                0.70448,                 1.1891,                 1.1258,                0.71646,                 0.8366,                0.81404,                 0.6826,                0.63862,                0.89639,                 1.0741,             0.00040767,             0.00040767,             0.00040767
                     32,                0.73484,                 1.2069,                 1.1492,                0.70515,                0.79151,                0.80508,                0.67057,                0.65896,                0.94353,                 1.0967,             0.00040531,             0.00040531,             0.00040531
                     33,                0.70483,                 1.1402,                 1.1283,                0.71477,                0.81985,                0.80612,                0.67407,                0.64378,                0.90652,                 1.0839,             0.00040296,             0.00040296,             0.00040296
                     34,                0.69677,                 1.1263,                 1.1288,                0.73831,                0.81178,                0.80844,                0.66717,                0.66943,                0.91777,                 1.0869,              0.0004006,              0.0004006,              0.0004006
